date                ,no ,x and y    ,xend and yend ,kosong ,car id ,jam dibuat ,jam isi  ,jam kosong
22:27:53 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:54,
22:27:54 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:54,
22:27:54 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:54,
22:27:54 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:54,
22:27:54 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:54,
22:27:54 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:54,
22:27:54 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:54,
22:27:54 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:54,
22:27:54 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:54
22:27:55 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:55,
22:27:55 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:55
22:27:55 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:55,
22:27:55 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:55
22:27:55 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:55,
22:27:55 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:55
22:27:55 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:55,
22:27:55 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:55
22:27:55 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:55,
22:27:55 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:55
22:27:56 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:56,
22:27:56 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:56
22:27:56 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:57,
22:27:56 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:57
22:27:57 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:57,
22:27:57 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:57
22:27:57 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:57,
22:27:57 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:57
22:27:57 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:57,
22:27:57 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:57
22:31:12 Sun-21-Jul,1,"(9, 113)","(158, 238)",Tidak,1,22:31:12,22:31:12,
22:31:12 Sun-21-Jul,1,"(9, 113)","(158, 238)",Tidak,1,22:31:12,22:31:13,
